NOME_CAMPO;DEFINIZIONE
COD_SLL_2011;Codice del SLL 2011
DESC_SLL_2011;Denominazione del SLL 2011
P1;Popolazione residente - Totale
P2;Popolazione residente - Maschi
P3;Popolazione residente - Femmine
P4;Popolazione residente - Celibi/nubili
P5;Popolazione residente - Coniugati/e (+ separati/e di fatto)
P6;Popolazione residente - Separati/e legalmente
P7;Popolazione residente - Vedovi/e
P8;Popolazione residente - Divorziati/e
P9;Popolazione residente - Maschi celibi
P10;Popolazione residente - Maschi coniugati o separati di fatto
P11;Popolazione residente - Maschi separati legalmente
P12;Popolazione residente - Maschi vedovi
P13;Popolazione residente - Maschi divorziati
P14;Popolazione residente - età < 5 anni
P15;Popolazione residente - età 5 - 9 anni
P16;Popolazione residente - età 10 - 14 anni
P17;Popolazione residente - età 15 - 19 anni
P18;Popolazione residente - età 20 - 24 anni
P19;Popolazione residente - età 25 - 29 anni
P20;Popolazione residente - età 30 - 34 anni
P21;Popolazione residente - età 35 - 39 anni
P22;Popolazione residente - età 40 - 44 anni
P23;Popolazione residente - età 45 - 49 anni
P24;Popolazione residente - età 50 - 54 anni
P25;Popolazione residente - età 55 - 59 anni
P26;Popolazione residente - età 60 - 64 anni
P27;Popolazione residente - età 65 - 69 anni
P28;Popolazione residente - età 70 - 74 anni
P29;Popolazione residente - età > 74 anni
P30;Popolazione residente - Maschi - età < 5 anni
P31;Popolazione residente - Maschi - età 5 - 9 anni
P32;Popolazione residente - Maschi - età 10 - 14 anni
P33;Popolazione residente - Maschi - età 15 - 19 anni
P34;Popolazione residente - Maschi - età 20 - 24 anni
P35;Popolazione residente - Maschi - età 25 - 29 anni
P36;Popolazione residente - Maschi - età 30 - 34 anni
P37;Popolazione residente - Maschi - età 35 - 39 anni
P38;Popolazione residente - Maschi - età 40 - 44 anni
P39;Popolazione residente - Maschi - età 45 - 49 anni
P40;Popolazione residente - Maschi - età 50 - 54 anni
P41;Popolazione residente - Maschi - età 55 - 59 anni
P42;Popolazione residente - Maschi - età 60 - 64 anni
P43;Popolazione residente - Maschi - età 65 - 69 anni
P44;Popolazione residente - Maschi - età 70 - 74 anni
P45;Popolazione residente - Maschi - età > 74 anni
P46;Popolazione residente totale da 6 anni e più
P47;Popolazione residente totale da 6 anni e più - laurea vecchio e nuovo ordinamento+diplomi universitari+diplomi terziari di tipo non universitario vecchio e nuovo ordinamento
